100
27 33
33 1 42
12 28 42
39 44 42
1 9 36
39 7 35
23 26 42
41 15 42
46 27 27
17 16 42
9 14 9
27 11 27
1 9 42
4 37 40
12 20 42
24 40 42
41 50 5
3 17 3
23 11 42
29 17 42
26 8 42
1 6 42
20 15 15
36 9 42
10 50 42
31 33 42
19 23 42
50 38 42
31 37 42
4 47 42
19 10 42
15 20 15
44 6 42
46 33 42
21 36 42
38 48 42
44 4 48
18 11 42
24 4 42
36 9 29
16 110
5 14 6
11 10 12
4 9 9
2 5 12
14 12 6
6 16 6
4 3 12
2 1 12
14 3 6
16 5 12
7 1 9
1 5 4
15 1 4
11 4 12
2 8 6
5 7 9
10 12 12
7 2 9
15 3 12
15 13 12
3 11 3
13 10 12
1 9 9
3 5 12
6 13 6
12 2 12
9 5 9
2 5 12
14 12 6
16 15 12
8 11 6
6 5 6
5 9 9
6 1 6
14 3 6
5 14 6
10 8 6
15 16 12
13 7 9
11 4 12
1 13 12
5 2 12
6 8 6
7 16 9
11 12 12
5 15 5
8 11 6
1 12 12
6 7 6
10 13 12
6 13 6
8 4 6
6 15 6
14 11 6
13 9 9
1 15 4
8 5 6
6 9 6
8 9 6
4 7 9
13 14 6
16 10 12
2 11 2
13 14 6
9 11 9
15 12 12
10 2 12
9 13 9
2 12 12
11 5 12
16 7 9
4 12 12
2 4 12
14 4 6
5 2 12
10 16 12
12 4 12
13 7 9
9 14 6
11 16 13
4 8 6
6 11 6
10 2 12
7 9 9
11 12 12
7 10 9
14 13 6
13 5 12
4 6 6
2 7 9
10 11 12
15 12 12
9 14 6
1 10 4
8 2 6
5 1 4
4 10 4
11 6 6
4 11 12
1 15 4
6 16 6
16 11 13
3 11 3
9 2 9
12 6 6
10 14 6
15 6 6
9 7 9
5 11 12
16 9 9
9 29
8 1 4
4 8 4
6 8 4
6 3 7
5 7 4
1 2 4
1 2 4
4 5 4
7 6 7
2 3 4
1 4 4
4 7 4
7 8 4
8 3 4
8 3 4
1 8 4
9 2 4
4 9 4
8 5 4
4 3 4
7 3 7
8 3 4
8 2 4
2 4 4
1 4 4
5 6 4
3 5 4
6 5 4
6 8 4
13 84
10 5 7
1 7 7
12 1 10
1 10 6
7 4 7
6 2 7
8 1 8
6 12 10
9 12 10
6 7 7
6 3 3
8 13 7
2 13 7
6 9 3
12 9 10
2 7 7
13 5 7
4 7 7
8 9 11
13 12 7
11 9 9
6 13 7
13 12 7
4 5 7
4 1 11
8 9 11
4 12 10
12 1 10
7 2 7
2 7 7
5 7 7
7 5 7
5 2 7
10 1 10
2 1 7
7 5 7
8 7 7
7 12 7
4 10 10
9 2 7
12 6 10
11 4 11
13 12 7
6 12 10
2 3 7
9 7 7
7 8 7
4 3 3
5 9 7
3 13 7
11 2 7
8 7 7
10 4 10
5 9 7
13 2 7
7 8 7
9 10 3
13 9 7
3 7 7
2 3 7
7 9 7
7 11 7
3 6 3
5 13 7
8 5 9
11 4 11
2 12 7
2 1 7
6 12 10
5 6 7
9 7 7
4 2 7
4 6 3
2 6 7
10 13 7
11 6 11
9 10 8
5 8 7
9 1 11
3 6 3
12 7 7
8 9 11
2 3 7
4 8 11
17 21
15 1 9
16 12 9
3 10 3
10 8 9
15 11 9
10 3 3
8 9 9
14 1 3
13 1 9
1 14 3
11 5 5
5 13 9
12 6 5
17 6 9
13 1 9
3 7 9
12 5 5
7 5 9
2 8 9
2 13 9
3 14 3
7 4
7 3 5
4 1 2
6 3 6
6 4 5
45 93
6 8 36
16 31 17
7 36 36
45 10 17
42 43 36
35 40 36
27 39 17
27 39 17
9 29 17
45 36 36
45 30 36
4 20 36
11 9 17
32 39 17
9 32 17
25 45 17
2 38 17
40 39 36
20 16 17
6 28 36
22 10 17
12 30 36
41 18 17
38 41 17
6 10 2
1 18 17
23 11 17
29 2 17
35 41 17
20 6 17
31 10 17
32 19 17
21 35 21
28 10 36
19 23 23
37 12 36
36 31 36
5 18 17
38 19 38
30 40 36
1 10 17
30 42 36
38 31 17
10 11 17
45 17 17
12 11 17
26 33 36
32 11 32
45 26 31
7 38 17
43 44 36
38 29 17
24 18 36
12 33 36
31 24 36
8 14 36
28 26 36
2 1 17
10 4 36
2 35 17
3 27 3
13 35 36
36 37 36
22 36 36
31 21 21
5 28 36
25 11 17
12 19 17
42 6 36
9 11 17
42 45 36
33 6 36
26 10 17
39 20 17
35 11 32
27 41 17
8 35 36
29 12 17
10 18 17
24 4 36
24 4 36
39 2 17
8 21 36
19 21 17
1 31 17
34 8 36
23 2 17
6 35 17
41 37 36
12 27 43
28 45 36
3 4 36
42 37 36
59 51
58 37 58
40 45 36
35 13 29
30 44 24
40 53 51
27 43 36
27 26 36
10 11 1
35 13 29
48 10 36
26 47 24
31 57 24
14 45 29
21 46 36
55 11 36
23 53 24
10 51 36
40 48 2
52 22 24
8 11 36
36 26 36
50 40 36
36 7 36
50 28 1
5 12 24
3 26 24
26 32 24
19 55 24
26 3 24
46 34 36
31 12 10
44 34 8
23 50 36
40 50 36
26 2 26
51 34 51
36 45 48
9 53 8
20 15 24
25 48 24
15 24 24
34 49 24
58 48 58
34 56 8
10 53 36
44 11 36
42 16 36
32 23 24
19 42 36
42 46 29
25 37 24
60 120
19 48 32
46 37 46
17 29 38
5 54 38
50 54 38
6 21 56
57 31 46
17 50 38
15 31 32
12 50 56
19 59 38
19 23 46
9 20 49
17 54 38
14 16 56
53 35 26
33 44 38
21 60 56
50 58 38
19 9 32
3 5 46
31 3 32
58 10 46
36 6 56
38 57 38
5 12 38
29 40 56
2 58 46
48 42 60
59 8 36
15 4 38
16 28 38
30 3 38
59 43 38
32 11 38
37 14 38
29 31 38
33 26 26
43 1 46
40 27 56
46 53 38
51 7 38
16 52 38
42 34 46
58 49 15
45 44 44
39 11 56
42 15 32
47 55 38
56 47 56
41 44 38
21 4 38
33 16 56
4 39 38
59 33 56
39 59 56
25 38 38
58 16 38
32 54 38
54 10 38
7 6 56
6 58 38
2 49 46
25 10 46
56 36 56
13 48 38
28 52 45
6 3 18
44 10 46
48 45 15
38 48 38
31 40 38
58 14 38
2 36 38
18 24 32
18 58 15
24 5 46
22 46 38
44 10 46
39 58 31
48 35 38
15 6 38
59 51 38
60 24 38
35 5 38
52 16 38
31 57 46
5 47 38
50 36 14
41 29 38
39 43 38
54 15 38
47 56 56
48 22 38
59 43 38
6 50 56
44 9 44
46 16 38
13 57 38
12 51 38
57 41 38
3 15 15
43 29 18
9 1 15
19 4 44
30 34 38
19 27 48
11 10 38
22 36 14
58 43 46
6 55 38
26 43 38
18 45 15
46 37 46
47 20 38
22 5 38
6 34 52
38 21 38
22 42 38
42 40 38
20 77
7 16 16
15 5 12
7 5 12
18 6 12
12 3 12
18 10 12
10 7 13
5 18 12
9 4 4
4 15 4
19 5 12
8 6 2
1 14 12
10 20 11
15 16 18
12 19 12
14 3 12
15 10 12
13 12 12
19 1 12
9 13 2
11 18 12
19 12 12
4 17 4
14 8 12
15 4 4
7 5 12
1 11 2
19 8 12
1 17 2
13 1 2
14 8 12
18 10 12
14 8 12
11 18 12
19 8 12
11 15 12
15 3 12
6 18 12
5 4 4
15 7 18
16 14 16
11 13 11
17 13 11
12 14 12
1 6 2
7 12 12
9 10 2
11 9 2
16 15 18
15 14 18
12 7 13
11 16 12
9 6 2
7 15 18
9 3 9
5 2 2
3 6 2
17 5 2
6 5 2
15 11 12
20 12 12
17 6 6
20 19 12
14 3 12
14 13 12
15 17 12
11 13 11
1 18 12
4 1 1
3 10 2
6 18 12
6 3 2
9 7 12
20 3 2
10 18 12
2 9 2
42 68
5 42 35
21 31 35
23 25 35
28 21 15
32 26 15
37 14 35
38 7 7
3 15 7
20 21 15
21 24 35
39 10 19
21 23 33
2 32 33
1 15 15
33 34 35
23 36 35
5 38 15
20 33 15
10 1 35
13 2 35
14 9 35
38 17 35
9 30 35
18 12 35
35 37 35
42 32 35
13 18 35
29 13 37
17 16 35
2 26 15
32 37 35
11 39 35
32 14 35
13 27 19
37 22 19
9 6 15
10 18 35
2 9 15
6 3 35
4 2 2
23 42 35
28 19 35
9 38 15
2 28 15
33 31 35
16 3 16
28 10 35
14 13 35
6 18 15
39 32 35
28 8 15
12 9 22
1 14 35
38 4 15
32 24 35
30 41 19
1 33 15
22 12 35
29 22 19
27 41 18
33 8 15
12 9 35
29 8 35
23 33 33
17 18 35
22 33 35
31 28 35
5 35 35
9 83
8 3 2
6 2 2
2 7 2
7 2 2
4 2 2
5 2 5
5 3 7
2 7 2
8 5 5
7 2 2
6 7 2
4 3 2
1 6 3
9 6 2
8 3 2
9 6 2
7 8 2
9 7 3
7 2 2
7 3 2
8 2 2
1 8 2
8 2 2
6 5 5
6 2 2
2 9 2
7 3 2
1 9 2
1 7 2
9 7 5
6 9 2
5 9 5
9 8 4
3 6 3
1 4 2
2 5 5
1 9 2
7 4 2
3 5 5
3 4 2
2 8 6
6 1 3
7 5 5
1 8 2
6 8 2
5 3 5
8 2 2
3 5 5
7 3 2
4 2 2
7 3 2
8 4 4
7 6 2
8 4 4
8 6 2
7 9 2
9 8 4
4 2 2
9 5 5
4 2 2
2 6 2
4 2 2
3 8 2
2 5 5
4 1 2
6 1 4
1 8 2
3 7 2
6 7 8
4 7 2
8 7 2
9 8 4
1 2 2
3 7 2
2 1 2
8 3 2
4 3 2
9 8 4
3 9 2
9 8 4
8 3 2
9 4 4
9 4 4
47 27
10 47 3
30 43 3
25 31 3
25 20 3
3 26 3
16 41 35
24 35 35
2 23 35
45 6 3
43 7 35
4 29 9
12 18 3
13 44 3
39 47 39
44 28 3
27 17 3
34 30 34
39 17 3
30 16 3
5 7 3
9 1 35
46 38 3
40 39 3
40 45 41
27 24 36
8 3 23
6 5 3
60 120
58 19 43
1 31 43
11 23 30
23 25 30
13 30 30
22 50 43
26 56 43
15 51 30
22 47 43
57 55 30
60 15 43
1 21 43
22 4 43
60 41 43
27 8 43
1 31 43
45 50 30
26 25 20
45 19 35
11 37 30
51 12 20
45 57 30
20 53 43
14 25 30
26 36 30
31 24 43
48 11 30
60 22 43
33 25 43
60 54 43
3 1 43
23 21 30
53 21 43
9 17 43
55 7 43
54 43 43
38 43 43
6 29 30
39 35 30
40 32 35
2 9 43
4 23 30
49 60 43
34 37 30
48 42 34
42 14 34
20 39 30
8 34 34
2 28 43
43 48 43
2 44 43
4 35 30
18 2 43
37 60 43
38 45 30
44 50 30
3 2 43
43 28 43
14 9 43
39 38 34
16 11 30
27 44 43
9 40 43
44 45 30
47 15 30
56 16 43
49 37 30
4 50 30
46 29 43
55 1 43
37 22 43
23 26 30
53 47 43
57 39 34
36 17 43
54 18 30
25 16 30
42 48 34
11 38 30
10 54 43
17 54 43
19 42 30
53 30 43
3 46 3
28 5 43
52 51 30
56 14 43
8 28 43
40 55 30
17 34 43
38 43 43
47 20 20
13 28 43
18 1 43
32 8 30
53 17 43
13 24 43
27 57 43
55 21 30
29 21 34
40 60 43
45 5 30
58 27 27
32 38 30
33 32 43
37 16 30
39 14 34
3 16 30
23 21 30
50 16 30
3 48 30
22 19 43
52 34 30
2 4 43
24 35 43
38 52 30
31 53 43
24 14 43
29 2 43
58 8 43
38 43
22 33 20
2 8 12
22 17 5
6 27 30
28 13 37
15 19 5
25 14 12
28 21 28
4 28 20
15 34 5
8 9 32
4 21 20
3 34 37
6 26 5
11 26 5
10 14 12
17 32 5
37 31 37
38 33 37
31 30 5
38 36 37
14 11 37
34 11 4
14 7 37
36 2 37
34 3 37
11 33 20
1 38 12
25 15 5
24 25 5
16 6 24
25 4 24
26 29 5
13 31 12
17 9 5
23 24 5
28 33 20
6 8 32
34 14 37
23 9 23
5 16 5
32 22 37
27 16 12
27 98
8 2 20
13 3 3
27 1 6
27 11 11
13 5 18
17 15 20
17 3 20
1 20 20
6 17 20
23 15 20
6 5 6
5 9 20
24 7 19
8 15 19
8 22 22
14 11 20
17 23 14
4 14 20
4 16 18
3 24 19
26 27 20
22 17 20
27 6 6
7 14 20
10 15 19
17 18 20
4 3 18
23 18 20
15 18 19
26 25 20
12 15 20
6 16 6
17 10 20
2 3 20
12 17 14
10 2 20
9 17 14
14 22 20
8 10 6
27 20 20
17 7 20
21 1 19
23 16 20
11 22 11
3 20 20
20 3 20
2 22 20
11 20 20
7 26 20
7 27 6
10 26 20
21 12 20
21 9 20
4 20 20
1 11 11
10 24 19
11 10 11
17 11 20
20 11 20
6 3 6
15 24 15
3 10 18
2 4 20
24 17 20
11 10 11
10 6 6
14 20 20
17 23 14
22 8 22
17 9 14
25 15 19
19 13 19
9 10 20
15 4 19
11 7 11
3 8 6
21 9 20
26 16 20
23 24 20
19 10 19
22 13 6
20 26 20
7 14 20
27 25 6
12 27 20
6 13 6
19 27 19
15 4 19
27 15 19
16 20 20
3 8 6
2 22 20
2 11 20
4 5 18
4 26 20
5 17 20
10 24 19
7 5 1
43 13
43 8 25
40 24 25
30 33 25
24 28 27
17 38 25
27 13 25
6 38 25
28 35 27
8 18 25
34 15 25
3 14 25
36 20 25
12 26 9
40 75
5 39 18
33 2 18
1 4 10
35 19 18
40 23 18
1 8 29
37 1 10
8 24 10
8 22 27
25 1 10
40 11 10
29 7 29
1 32 10
23 6 19
15 30 10
29 12 10
33 24 18
31 18 18
22 19 18
22 18 18
10 23 18
22 15 10
2 21 10
11 2 16
35 40 27
23 16 18
7 14 27
2 38 2
23 22 18
17 18 18
7 3 3
4 17 4
32 23 18
34 31 18
26 10 19
29 35 27
20 8 29
27 15 10
28 37 10
18 31 18
4 39 4
29 31 27
40 17 10
8 24 10
38 7 10
28 27 27
3 27 18
27 20 27
31 8 27
1 3 18
26 9 23
34 4 18
4 18 18
28 15 31
36 35 27
22 25 10
23 25 18
3 4 18
40 26 18
26 18 18
19 37 18
12 25 2
27 10 10
25 2 2
29 40 27
10 15 10
19 21 18
15 4 4
20 38 28
9 21 18
26 32 18
37 29 10
19 14 4
31 25 10
23 4 18
20 58
6 3 6
3 4 3
9 1 6
7 2 6
4 17 6
12 8 6
9 11 11
11 15 6
4 18 6
17 9 6
10 2 6
5 8 5
17 14 1
17 8 6
15 7 14
14 12 6
3 8 6
20 4 6
10 4 3
17 3 6
2 12 19
18 1 18
5 6 6
6 14 3
11 18 6
20 17 6
20 15 5
9 5 6
3 13 3
20 6 6
17 12 6
6 19 6
7 13 7
6 9 6
4 16 6
13 20 6
20 18 20
2 15 6
13 4 3
6 16 6
5 15 5
9 2 6
12 10 6
4 17 6
7 12 5
6 19 6
18 11 6
18 13 6
20 19 6
5 14 5
4 8 6
17 14 6
12 17 6
6 13 3
18 5 5
1 8 8
19 13 6
16 2 6
41 37
36 14 11
12 6 11
29 1 13
23 16 13
41 20 13
36 3 11
16 20 13
20 29 13
33 19 11
16 7 34
3 16 34
9 11 11
36 27 36
17 24 11
17 39 11
35 2 28
18 31 34
17 19 11
39 20 13
40 1 13
30 5 11
12 4 12
24 32 34
33 14 34
33 1 13
3 6 11
41 8 11
14 35 28
31 13 13
26 3 11
5 41 34
41 24 12
14 30 11
29 6 11
4 20 13
9 1 13
22 30 11
47 20
25 12 12
41 45 2
17 2 2
24 23 2
34 40 44
29 32 47
35 45 2
22 23 2
10 32 2
29 27 2
43 46 2
36 43 2
15 10 2
34 15 47
19 15 2
26 13 2
5 46 2
4 19 2
11 47 2
1 5 2
9 64
9 5 5
7 9 6
2 9 5
4 6 4
3 8 5
6 2 5
7 1 5
9 6 6
8 5 5
1 2 1
2 5 4
2 1 1
9 4 4
9 4 4
3 5 5
1 3 5
9 6 7
1 5 5
5 3 5
1 2 1
3 2 5
5 1 5
1 7 5
5 9 8
9 3 6
5 9 5
1 8 5
5 6 4
3 7 3
9 3 6
7 4 4
7 8 5
8 4 5
3 4 2
8 1 2
6 9 6
5 2 5
6 8 5
2 6 5
3 7 3
5 4 5
9 7 6
3 1 5
5 9 5
6 2 5
6 5 5
3 7 3
5 4 5
1 5 5
2 4 5
2 9 5
7 3 3
3 6 6
7 1 5
9 8 5
4 9 9
5 8 5
1 4 5
3 6 6
9 7 6
9 8 5
9 3 6
4 3 4
3 1 5
47 39
35 14 20
8 1 20
10 42 20
12 42 20
43 31 20
17 36 20
7 37 46
9 41 46
7 21 46
13 30 46
40 24 20
47 35 20
30 8 20
4 8 20
20 15 20
47 44 20
28 46 20
45 14 20
40 46 46
7 10 20
34 4 20
16 10 16
40 16 20
1 6 20
16 26 20
40 46 46
25 41 20
23 14 20
11 32 46
12 20 20
12 9 20
25 11 20
24 14 20
3 17 20
12 32 20
7 33 20
47 22 20
29 39 46
1 6 20
47 72
32 16 2
28 39 2
2 45 2
42 5 26
13 42 26
6 31 26
11 42 26
8 3 17
47 20 26
16 11 26
15 39 8
41 23 26
25 32 26
12 20 34
3 23 26
17 2 26
47 10 26
4 22 26
18 35 26
34 16 2
7 25 26
45 43 2
47 25 42
1 21 26
13 27 13
36 19 6
29 31 26
32 11 26
23 12 26
29 41 2
6 30 40
39 29 8
15 5 26
28 32 2
26 43 26
37 11 26
25 12 26
16 1 35
38 9 43
38 40 2
36 22 2
38 35 26
24 37 26
7 17 15
25 23 33
16 25 28
29 3 2
32 21 26
16 45 2
2 37 2
31 3 11
3 6 2
45 13 26
33 15 34
34 35 26
16 47 26
4 28 26
44 41 2
26 14 26
35 41 26
6 28 2
35 28 26
14 39 2
44 21 21
9 15 34
44 12 26
19 46 2
43 11 26
3 21 45
38 42 34
16 45 2
2 26 26
6 31
1 2 5
4 5 5
3 4 5
2 6 5
5 1 5
4 3 1
2 6 5
6 1 5
6 2 5
1 6 5
6 2 5
2 5 5
2 5 6
4 1 4
4 5 5
4 2 5
3 2 5
4 2 5
4 2 5
2 4 5
1 6 5
3 5 2
6 4 1
3 4 4
1 5 5
5 2 5
4 1 4
4 1 4
2 5 5
3 5 5
3 4 5
27 57
13 8 7
16 2 20
1 15 7
4 10 7
5 7 7
23 27 20
16 10 7
1 3 7
3 24 7
11 16 20
9 22 15
21 15 24
11 23 2
19 5 20
25 11 7
4 1 7
10 22 7
9 8 7
12 24 7
16 4 7
24 20 7
1 3 7
3 23 7
14 13 7
6 20 20
21 16 7
17 6 7
4 1 7
1 8 7
23 24 7
2 4 7
23 10 7
15 21 7
21 18 7
4 15 7
11 5 2
25 4 7
9 2 8
12 6 15
4 10 7
20 26 20
17 1 7
27 12 15
10 24 7
13 2 7
8 7 7
2 26 20
25 1 7
3 5 7
19 17 10
3 10 7
12 10 7
20 15 15
13 9 7
1 13 10
24 1 7
14 13 7
53 90
13 2 19
10 43 19
40 33 40
33 49 38
35 30 19
23 44 42
34 16 19
47 31 38
48 42 48
52 27 49
45 30 19
40 52 38
31 51 38
18 8 48
23 24 48
46 52 19
51 37 19
20 32 19
12 14 19
40 45 48
6 20 19
7 52 38
40 18 48
49 36 38
20 23 19
9 17 19
24 29 48
3 2 7
43 12 19
9 33 42
19 30 19
14 11 19
11 45 48
3 36 38
32 25 48
8 38 38
12 28 48
42 41 19
22 33 38
36 52 38
2 11 7
3 42 42
14 28 19
51 5 48
36 6 38
14 32 19
38 35 42
15 45 48
30 35 19
12 3 48
20 52 19
44 20 19
36 47 36
37 23 19
40 53 19
14 27 19
44 19 19
4 51 38
9 37 19
13 30 19
12 23 48
28 45 48
5 12 5
49 27 49
53 6 19
22 44 38
18 19 19
45 3 48
1 32 48
47 31 38
47 5 48
9 51 42
16 41 19
51 46 19
21 51 48
40 9 42
34 28 26
41 5 19
2 7 7
33 50 38
47 42 42
25 45 48
12 15 48
6 39 42
21 28 48
34 37 19
8 39 42
45 49 48
25 9 42
49 37 19
60 116
1 3 1
1 4 1
2 3 2
2 4 2
3 5 3
3 6 3
4 5 4
4 6 4
5 7 5
5 8 5
6 7 6
6 8 6
7 9 7
7 10 7
8 9 8
8 10 8
9 11 9
9 12 9
10 11 10
10 12 10
11 13 11
11 14 11
12 13 12
12 14 12
13 15 13
13 16 13
14 15 14
14 16 14
15 17 15
15 18 15
16 17 16
16 18 16
17 19 17
17 20 17
18 19 18
18 20 18
19 21 19
19 22 19
20 21 20
20 22 20
21 23 21
21 24 21
22 23 22
22 24 22
23 25 23
23 26 23
24 25 24
24 26 24
25 27 25
25 28 25
26 27 26
26 28 26
27 29 27
27 30 27
28 29 28
28 30 28
29 31 29
29 32 29
30 31 30
30 32 30
31 33 31
31 34 31
32 33 32
32 34 32
33 35 33
33 36 33
34 35 34
34 36 34
35 37 35
35 38 35
36 37 36
36 38 36
37 39 37
37 40 37
38 39 38
38 40 38
39 41 39
39 42 39
40 41 40
40 42 40
41 43 41
41 44 41
42 43 42
42 44 42
43 45 43
43 46 43
44 45 44
44 46 44
45 47 45
45 48 45
46 47 46
46 48 46
47 49 47
47 50 47
48 49 48
48 50 48
49 51 49
49 52 49
50 51 50
50 52 50
51 53 51
51 54 51
52 53 52
52 54 52
53 55 53
53 56 53
54 55 54
54 56 54
55 57 55
55 58 55
56 57 56
56 58 56
57 58 57
58 59 58
59 60 59
60 57 60
32 62
6 1 13
28 1 1
20 19 4
18 7 4
17 19 13
18 24 4
11 3 4
19 4 4
18 8 4
7 27 4
15 2 11
7 30 13
28 13 13
6 23 13
14 10 13
20 7 4
18 15 4
18 3 9
7 3 4
3 4 4
14 18 13
2 29 4
25 23 13
21 2 21
21 3 4
16 14 13
18 12 9
18 32 9
23 22 4
20 11 4
8 19 8
26 28 4
17 3 13
21 9 4
29 7 4
5 2 13
7 26 11
16 10 4
25 2 13
27 30 13
14 23 13
21 32 4
31 4 4
14 30 13
10 14 13
22 29 10
30 10 13
13 12 13
32 24 4
14 31 13
8 2 4
29 26 4
27 16 13
26 6 13
9 28 4
22 29 10
17 15 13
11 26 11
1 20 4
26 25 13
16 1 4
18 26 4
9 23
9 4 4
9 4 4
7 8 7
2 3 7
5 6 7
9 6 7
6 2 2
1 7 7
1 9 4
1 5 7
7 6 7
1 2 7
3 8 7
8 2 8
7 4 7
4 1 4
9 1 4
6 9 7
2 8 8
2 6 2
3 5 7
3 9 4
4 7 7
17 10
16 6 8
10 17 9
8 5 9
14 2 8
10 12 9
12 11 9
11 8 11
10 11 11
9 16 9
14 11 11
56 84
8 40 6
7 51 6
36 27 6
38 17 55
3 19 6
35 52 6
25 53 12
14 41 6
49 39 49
39 56 39
3 1 3
50 26 6
29 44 6
4 26 6
52 6 6
37 29 54
18 52 22
5 25 6
54 31 6
40 17 6
49 15 6
36 22 6
45 2 6
8 15 6
14 13 6
21 18 22
42 49 6
6 32 6
18 31 6
33 12 6
9 12 6
28 44 6
9 21 6
43 22 6
33 35 44
8 13 55
41 39 6
51 55 55
39 32 6
34 41 6
18 28 6
47 18 6
8 33 6
15 39 6
10 48 10
23 51 6
3 20 6
15 50 6
31 40 6
16 9 6
46 52 54
15 48 6
13 33 6
10 23 6
31 52 6
48 9 6
39 2 6
6 21 6
33 4 44
29 12 6
1 22 6
40 26 6
31 20 6
49 55 55
46 31 6
53 27 6
51 27 6
29 37 54
41 19 6
50 45 6
41 37 54
8 1 55
12 22 6
31 15 6
54 13 6
30 24 6
22 20 54
41 15 6
50 22 6
36 56 6
29 26 6
39 41 6
35 30 44
26 3 55
13 99
8 4 9
1 4 9
11 3 9
13 1 9
3 7 9
2 5 12
1 8 10
3 2 12
13 12 9
13 4 9
8 4 9
6 2 6
9 5 9
7 6 6
13 6 6
2 9 9
9 7 9
4 10 9
10 4 9
10 3 10
6 7 6
9 8 9
4 12 9
1 10 10
5 6 6
13 4 9
13 7 9
12 1 12
1 9 9
3 9 9
11 7 7
8 1 10
7 6 6
9 5 9
11 4 4
5 8 10
6 11 6
8 6 6
13 9 9
3 7 9
10 6 6
9 10 9
7 1 9
9 6 6
11 3 9
4 11 4
11 13 9
1 5 10
9 12 9
8 12 12
7 8 9
12 9 9
6 9 6
8 4 9
13 2 9
11 4 4
3 7 9
7 13 9
1 7 9
3 7 9
9 3 9
12 5 12
2 5 12
2 10 12
7 1 9
6 11 6
3 1 1
4 10 9
6 2 6
11 5 9
3 9 9
12 5 12
13 2 9
8 6 6
6 10 6
3 1 1
11 6 6
11 4 4
13 6 6
4 7 4
5 12 12
7 1 9
10 9 9
11 13 9
11 12 9
10 6 6
3 5 10
6 8 6
2 8 12
5 1 10
6 12 6
8 11 9
