Case #1: Impossible
18 15 165020
37 38 148855
26 2 199703
39 4 142642
35 29 77953
10 21 36063
17 32 36210
36 28 103877
9 8 103917
35 31 56631
16 3 19516
17 39 86478
8 37 5387
9 23 62306
30 31 17477
16 17 74468
24 27 135155
6 35 60163
26 36 130314
15 19 105194
31 5 99422
35 27 141043
19 39 119000
38 11 144183
39 8 68933
2 1 191145
6 31 3532
25 9 181321
20 39 167807
35 32 17099
10 19 62846
11 8 715
15 25 66483
8 19 148388
11 12 52636
9 11 103202
10 39 56154
12 18 121403
32 21 71909
39 33 185925
26 25 166592
27 28 171213
26 14 164865
1 26 111326
10 26 146341
10 32 35846
38 17 161013
11 37 4672
16 12 116106
19 27 128365
30 1 97560
23 31 170258
3 8 73815
33 24 185327
36 2 195272
31 15 94304
28 37 56260
21 27 137680
28 19 106310
25 23 119015
16 25 55862
27 23 61494
31 16 34413
32 23 130726
33 22 107919
31 8 58918
36 32 24567
22 31 45496
35 25 28810
33 11 116277
31 19 89954
25 11 110392
26 30 138623
18 31 115501
38 18 201032
29 4 105603
1 6 83615
8 26 90892
11 18 68767
6 3 18429
25 3 36346
10 23 110624
1 23 148461
4 31 40904
39 26 90187
9 15 199455
7 35 119351
34 14 100852
16 11 92457
19 25 38711
36 19 74989
38 1 204264
31 3 14897
19 32 50422
2 20 157439
22 3 30599
27 8 119940
33 2 174135
17 4 80959
16 7 151372
16 22 11083
25 32 11711
17 3 54952
3 26 156527
20 26 77620
9 12 50566
34 16 81988
39 23 54470
Case #12: 106
2 11 250776
5 18 241050
7 21 136191
6 7 164756
3 10 175626
4 16 198469
3 13 47715
19 17 137381
19 5 244899
13 21 62611
6 13 87952
7 20 77485
17 13 126641
20 16 154312
18 10 155422
8 21 148196
7 10 259737
8 1 83695
9 15 171328
4 6 131428
9 2 50798
8 10 231780
1 2 74749
15 14 294507
6 9 141168
16 11 150069
20 21 61930
1 15 259808
20 3 47034
1 10 150759
10 11 289789
15 13 225906
13 18 27511
1 20 71650
14 2 72381
5 16 368532
11 15 438582
20 17 125960
2 12 270470
20 18 26830
15 16 345217
7 8 132229
8 4 130423
8 16 238242
12 9 239152
8 12 269892
21 4 17773
21 2 58831
4 1 115807
19 8 80207
19 15 255904
5 15 153128
4 15 181068
4 2 41058
13 4 44838
7 2 77360
8 18 76358
12 17 344706
1 13 72331
1 16 157221
2 18 29929
12 16 373058
18 17 133532
3 14 122514
4 17 170117
19 3 24053
13 16 154993
17 14 195082
18 11 255249
3 17 153736
20 19 30679
8 9 140163
4 9 9740
6 20 87271
13 19 31360
8 13 93145
6 12 271615
6 3 80645
17 6 73091
15 17 316865
1 11 250586
10 6 94981
16 3 182088
19 1 48669
18 12 259139
14 16 210075
4 20 44157
16 6 101443
6 8 136799
12 21 211639
19 11 259098
14 11 316799
3 18 20204
5 2 211121
21 5 152290
11 13 248358
10 19 159271
14 20 75480
5 12 59349
19 6 64290
6 2 90370
17 2 129059
16 2 157411
15 8 176113
13 2 3780
11 7 325162
Case #13: 146
7 14 211297
11 13 175037
12 14 321704
2 15 381637
15 14 381587
5 8 106600
12 18 165625
11 8 142551
23 16 207333
21 19 108526
7 17 212242
18 14 156079
22 19 325705
4 16 310948
14 1 96070
14 8 180481
16 11 204805
12 17 375019
23 5 38479
20 6 211456
3 10 158750
13 10 170700
15 3 302605
13 24 246902
13 14 156631
15 16 344323
12 1 365513
6 7 165855
15 17 302665
13 20 104054
10 14 303431
21 6 182434
20 16 299501
4 13 92607
11 14 242069
12 9 256535
8 13 259910
13 22 362336
5 1 117690
7 15 243091
17 16 296050
17 23 165675
19 1 142015
20 24 238463
22 15 149776
19 20 153489
19 15 182370
1 17 244886
14 20 75471
17 20 257843
9 5 8712
18 7 216048
21 11 120152
3 13 11950
16 22 311742
21 22 359614
8 2 215698
1 24 225506
17 5 127196
7 2 291214
19 17 151521
10 19 128281
11 4 178045
12 13 401133
14 22 495067
2 9 214880
18 24 124324
20 4 11447
16 13 322380
10 2 238686
21 9 92913
10 5 121380
15 11 139518
16 5 168854
24 22 409196
14 19 206066
9 3 135848
6 18 211811
8 10 222832
17 13 280722
11 10 85429
7 19 91947
3 22 350386
19 13 132185
3 14 144681
8 12 141223
23 20 169126
24 12 161884
2 11 242119
18 4 220103
24 17 235012
8 21 148593
18 13 235508
20 5 130647
3 20 92104
4 7 147273
13 6 234335
18 19 155327
10 9 112668
18 8 24402
9 24 99104
23 6 119288
3 19 120235
7 11 103573
6 3 225369
19 8 130925
21 17 208436
13 23 177565
19 5 24325
19 4 142042
3 1 48611
3 4 80657
12 3 389183
6 11 116760
22 6 399613
2 19 230493
17 22 446000
24 11 126343
7 22 283770
11 5 35951
5 13 153526
18 22 418058
20 1 43493
2 23 244647
3 7 66616
9 7 76334
22 5 318804
4 1 32046
6 24 188625
3 18 223558
24 8 99922
15 23 196524
6 8 187409
9 15 166757
19 24 114717
9 11 27239
6 1 198499
2 14 365465
10 24 122910
14 4 64024
22 2 524972
23 9 29767
23 19 45380
9 19 15613
6 17 46387
22 9 310092
Case #14: 54
24 20 601029
2 10 595465
19 28 916682
23 8 288756
23 24 485839
1 16 607684
6 2 418628
1 8 833931
29 6 464605
14 1 932018
20 8 425939
10 21 377078
8 12 754618
13 20 407127
6 11 240533
5 19 385821
16 22 247039
29 12 494892
26 20 476784
21 26 392198
9 5 421501
18 26 641649
24 1 727496
19 26 401809
29 11 458118
23 15 691567
13 6 379978
1 11 688981
2 22 206863
5 29 683643
26 10 535496
26 25 561591
6 21 603193
24 12 558082
15 27 364553
8 27 361899
9 7 153065
26 9 428373
16 14 586602
7 8 532388
17 14 908245
17 16 355752
9 25 661268
17 29 622399
20 5 476734
28 16 669144
21 16 547228
18 2 337696
18 28 848849
12 10 641633
23 16 553400
20 21 318366
19 23 698084
14 26 665583
Case #15: Impossible
Case #16: 79
4 9 511000
1 14 187353
7 2 399718
12 1 172390
6 5 53801
9 15 117062
13 11 317122
18 2 333582
5 16 82367
1 4 548105
7 5 143096
1 11 206112
15 17 195517
4 14 385350
14 2 320339
14 5 41551
3 6 192316
6 9 154191
11 10 89993
15 4 532656
17 3 261308
12 16 27838
8 10 126556
16 1 168803
9 2 172523
18 7 66136
16 2 310561
16 4 456330
7 11 209834
1 13 236407
7 17 312907
3 15 292506
9 14 196468
10 4 456584
17 4 596712
6 15 100190
7 3 367715
10 1 116119
8 6 102438
1 6 92001
8 2 245150
3 18 301579
14 13 311484
5 13 287290
3 9 333228
10 14 71234
9 11 175347
11 14 146763
5 9 196412
18 8 233199
8 1 10437
2 13 471120
10 18 106643
12 15 156594
8 15 65309
13 17 377052
13 7 259250
3 12 223028
6 12 104640
8 9 72627
7 16 172525
7 14 101545
12 5 86212
2 12 282723
13 6 281725
4 11 493639
11 3 157881
17 18 246771
5 17 270731
16 3 195190
17 11 151055
10 15 76072
10 12 80522
16 9 138038
12 11 65147
13 12 307651
10 5 29683
17 9 202835
4 18 349941
Case #17: 114
9 10 75120
9 8 69888
23 7 119325
23 10 177039
10 26 116146
6 11 208469
18 3 204184
29 15 282488
25 24 96058
29 20 289656
4 7 333212
13 5 79647
13 20 95628
29 19 278047
14 7 246771
28 21 229384
3 28 187106
20 15 212304
29 25 269467
2 21 302325
19 10 173247
6 12 10370
26 4 223209
8 4 252071
27 21 225400
25 28 94928
20 5 60623
18 14 156107
25 21 243342
16 24 178886
10 11 277368
29 7 325210
4 15 358618
9 22 136000
18 10 144754
24 1 177887
24 15 251107
15 13 170512
21 16 231688
18 25 54443
17 26 107462
9 11 202248
15 3 376362
8 27 128129
26 20 68710
2 4 452202
30 10 249012
6 23 50972
16 15 214967
20 24 119055
16 20 140083
2 1 336693
3 9 273794
10 3 318845
30 25 323161
30 21 380795
15 9 102568
22 18 66390
7 24 230563
17 19 163716
5 15 215977
4 24 330722
9 2 270019
5 2 204554
7 1 252488
15 26 143594
6 4 270456
30 29 144216
24 21 267828
28 10 185215
8 19 28239
20 6 58789
1 14 266624
9 24 148539
14 9 168549
17 11 244457
30 9 281160
3 6 222847
12 9 98643
13 7 146166
17 24 214975
11 7 214546
14 24 235036
2 16 300366
12 18 29033
24 29 293953
7 21 279583
18 13 55502
24 8 136375
6 28 59148
11 23 222115
6 29 233687
24 6 60266
26 23 60893
4 5 266693
19 28 116390
24 2 279338
16 28 140442
2 26 228993
29 1 116066
29 8 249808
20 25 94569
22 1 165348
2 3 189389
29 5 258691
5 19 71760
2 22 266799
1 15 282695
20 22 106516
2 28 159924
17 13 134380
14 21 234002
1 13 166019
11 1 248032
Case #18: 93
5 3 676601
18 23 451206
17 8 522284
6 14 392297
5 19 563694
16 2 502850
21 18 356180
23 6 110850
3 2 362205
1 9 291205
2 13 377541
19 22 298412
6 5 478589
23 19 361005
18 10 227150
17 1 479397
9 3 383558
21 22 200649
21 6 240690
6 15 157585
11 20 313522
10 22 368651
11 21 276050
18 3 431997
19 9 264154
6 19 250155
13 23 403528
7 16 518559
4 9 502833
4 12 432083
10 3 293605
3 20 355490
4 19 466939
6 11 453701
7 20 208461
5 4 783983
6 4 564775
16 23 423941
15 5 471124
16 5 165498
15 13 264562
22 15 337601
20 10 246158
10 2 157358
22 8 238368
5 14 556069
14 17 371371
20 12 226672
9 18 493488
9 16 466223
17 19 582328
21 19 265979
2 15 112979
12 8 301865
9 10 266338
4 23 617289
10 23 224056
22 9 241802
12 11 371718
22 20 278805
10 16 426297
2 19 205549
22 13 73039
2 12 137872
7 23 260145
4 15 407190
17 7 354260
8 9 238656
3 4 548865
4 18 589961
14 19 315659
15 7 303714
2 4 468388
8 15 276972
14 7 315206
16 8 652262
4 7 477453
18 5 372598
7 5 605189
2 6 198389
9 15 310717
3 14 260640
23 21 129840
7 9 312146
5 10 496223
11 3 270694
8 3 380124
1 23 410555
11 13 256497
21 14 214646
6 9 153132
9 20 315666
6 10 113206
Case #19: 173
19 29 103543
24 20 55568
12 14 216736
2 26 265511
13 20 123246
27 29 54728
29 23 238768
18 26 203640
20 12 154837
2 14 122664
1 4 354056
25 31 132430
30 26 38467
14 10 317801
31 17 243985
18 15 271959
25 19 201370
14 18 222443
2 8 108229
24 31 145184
10 22 345799
5 30 117719
13 22 278508
15 5 228966
16 23 87651
15 3 205853
3 24 66418
8 12 168468
3 29 241108
11 14 114736
12 17 293524
5 3 205514
10 29 136780
31 27 102640
11 28 145980
25 24 110965
24 17 107060
2 13 177938
23 5 209603
14 29 251013
7 4 343497
30 28 88549
17 6 198228
2 10 309187
21 1 234957
14 30 239245
15 17 281554
3 21 198290
28 13 38851
30 15 288761
6 16 74024
11 22 149187
27 23 190469
7 30 33145
5 20 136926
31 7 93939
14 19 175056
14 24 87777
31 23 161773
11 1 122212
14 5 226873
25 10 174371
10 21 245538
25 28 104675
1 26 250900
20 9 101473
7 2 236608
5 19 141025
16 24 17144
10 11 260570
15 19 239212
28 23 189528
22 6 213396
21 20 118424
20 30 141730
15 1 263564
9 10 220447
27 25 119791
23 3 136925
23 7 231539
2 30 227044
11 18 158734
25 15 131228
18 8 102013
18 25 180325
4 3 227389
30 3 217886
